#EXPORTTYPE:  	DATA COMPARE                 	DATA COMPARE                 	DATA COMPARE                
#FILE:        	Sample1.ngb-dm2                    	Sample2.ngb-dm2                    	Sample3.ngb-dm2                  
#FORMAT:      	NETZSCH5                     	NETZSCH5                     	NETZSCH5                    
#FTYPE:       	ANSI                         	ANSI                         	ANSI                        
#IDENTITY:    	3	2	1
#DECIMAL:     	POINT                        	POINT                        	POINT                       
#SEPARATOR:   	TAB                          	TAB                          	TAB                         
#MTYPE:       	DMA                          	DMA                          	DMA                         
#INSTRUMENT:  	NETZSCH DMA 242              	NETZSCH DMA 242              	NETZSCH DMA 242             
#PROJECT:     	Amtrol                       	Amtrol                       	Amtrol                      
#DATE/TIME:   	5/29/2024 12:46:57 PM (UTC+1)	5/29/2024 11:00:19 AM (UTC+1)	5/29/2024 9:25:24 AM (UTC+1)
#LABORATORY:  	Piep                         	Piep                         	Piep                        
#OPERATOR:    	LG                           	LG                           	LG                          
#REMARK:      	                             	                             	                            
#SAMPLEHOLDER:	SingleCantilever16           	SingleCantilever16           	SingleCantilever16          
#SAMPLE:      	Resin                        	Resin                        	Resin                       
#SAMPLEDIM/MM:	16.000x10.660x3.660          	16.000x10.560x3.640          	16.000x10.720x3.700         
#MATERIAL:    	                             	                             	                            
#CORR. CODE:  	0	0	0
#RANGE:       	90.0°C/3.0(K/min)/260.0°C    	90.0°C/5.0(K/min)/260.0°C    	25.0°C/10.0(K/min)/400.0°C  
#SEGMENT:     	S1/2                         	S1/2                         	S1/2                        
#SEG. 1:      	90.0°C/3.0(K/min)/260.0°C    	90.0°C/5.0(K/min)/260.0°C    	25.0°C/10.0(K/min)/400.0°C  
			
##Temp./°C	"E""(1.000 Hz)/MPa"	"E""(1.000 Hz)/MPa"	"E""(1.000 Hz)/MPa"
24.59108	              	              	20.62772
25.59108	              	              	20.50417
26.59108	              	              	20.02451
27.59108	              	              	20.54463
28.59108	              	              	20.04196
29.59108	              	              	20.35362
30.59108	              	              	20.69897
31.59108	              	              	20.5918
32.59108	              	              	20.61876
33.59108	              	              	20.58934
34.59108	              	              	20.59118
35.59108	              	              	20.59332
36.59108	              	              	20.5564
37.59108	              	              	20.54736
38.59108	              	              	20.5526
39.59108	              	              	20.55141
40.59108	              	              	20.54423
41.59108	              	              	20.44619
42.59108	              	              	20.88766
43.59108	              	              	21.10479
44.59108	              	              	20.54363
45.59108	              	              	20.3444
46.59108	              	              	21.05199
47.59108	              	              	20.80099
48.59108	              	              	20.28514
49.59108	              	              	20.53655
50.59108	              	              	20.93199
51.59108	              	              	21.21274
52.59108	              	              	20.61003
53.59108	              	              	20.42841
54.59108	              	              	21.04192
55.59108	              	              	20.9512
56.59108	              	              	20.95766
57.59108	              	              	21.01498
58.59108	              	              	20.63085
59.59108	              	              	20.22096
60.59108	              	              	20.69338
61.59108	              	              	20.87481
62.59108	              	              	21.43692
63.59108	              	              	21.29736
64.59108	              	              	20.79045
65.59108	              	              	21.37726
66.59108	              	              	21.20708
67.59108	              	              	20.7223
68.59108	              	              	20.63442
69.59108	              	              	20.70212
70.59108	              	              	20.54253
71.59108	              	              	20.79394
72.59108	              	              	21.26192
73.59108	              	              	20.53224
74.59108	              	              	20.80626
75.59108	              	              	21.19563
76.59108	              	              	21.14703
77.59108	              	              	21.16945
78.59108	              	              	20.57197
79.59108	              	              	20.31109
80.59108	              	              	20.294
81.59108	              	              	20.30713
82.59108	              	              	20.89165
83.59108	              	              	20.58526
84.59108	              	              	20.18066
85.59108	              	              	20.67858
86.59108	              	              	20.41066
87.59108	16.75042	              	20.10962
88.59108	16.75042	              	20.41293
89.59108	16.75336	              	20.76096
90.59108	16.09138	15.09324	20.66205
91.59108	16.78097	15.06084	20.62682
92.59108	16.73573	15.07195	20.62241
93.59108	16.06382	14.431	20.56441
94.59108	16.67622	15.1075	20.49166
95.59108	16.8112	14.43475	20.47905
96.59108	17.26479	15.04045	20.54354
97.59108	17.24675	15.03296	20.30106
98.59108	17.24521	15.03814	19.80134
99.59108	17.7427	15.56849	20.41337
100.59108	17.1516	14.8028	20.30635
101.59108	17.7829	15.66326	20.19891
102.59108	17.65998	15.58265	20.45499
103.59108	17.80297	16.01386	20.89566
104.59108	18.27763	16.19813	20.85357
105.59108	18.52191	16.02421	20.87134
106.59108	18.17621	15.97692	20.56182
107.59108	18.43805	16.43161	20.08862
108.59108	18.88204	16.34209	20.65139
109.59108	18.78176	16.6948	20.13521
110.59108	18.73615	16.02797	20.33167
111.59108	19.30487	16.60764	21.18168
112.59108	19.26889	16.54713	20.62728
113.59108	18.58587	17.23805	20.62858
114.59108	19.51452	17.18421	21.18256
115.59108	20.21314	17.29738	21.08131
116.59108	19.69679	17.80076	20.99166
117.59108	20.19674	17.76453	21.05925
118.59108	20.70532	17.64243	20.79186
119.59108	21.38898	18.86947	20.29671
120.59108	21.75543	18.1853	20.63706
121.59108	21.70274	18.3119	20.86682
122.59108	22.48809	18.77295	20.72588
123.59108	23.01372	18.66216	21.00635
124.59108	23.51135	19.29363	21.38105
125.59108	23.33324	19.34656	21.27398
126.59108	24.77587	19.24928	21.86711
127.59108	25.23804	19.7861	21.90695
128.59108	26.4574	19.69665	21.76525
129.59108	27.23026	20.40428	21.69246
130.59108	29.04483	20.32615	22.3128
131.59108	30.01309	19.56139	22.29001
132.59108	31.55542	20.84215	22.24579
133.59108	33.27392	20.83649	22.93031
134.59108	35.38488	21.80726	23.25593
135.59108	39.026	21.79354	23.1491
136.59108	41.34477	22.08564	23.48121
137.59108	46.10951	22.80779	24.08586
138.59108	51.07691	23.13577	24.46334
139.59108	57.06803	23.89411	24.02899
140.59108	65.19961	23.83679	24.38325
141.59108	73.35174	25.22687	24.72997
142.59108	80.62707	25.96321	25.35372
143.59108	93.8253	26.90626	26.85273
144.59108	111.96563	27.4981	27.18247
145.59108	121.21446	29.87187	27.41221
146.59108	133.85187	30.50258	28.32861
147.59108	148.39721	31.49623	29.30247
148.59108	153.75371	33.18643	29.97052
149.59108	156.37594	35.18989	31.09004
150.59108	154.24893	38.94388	31.84016
151.59108	146.11293	41.27382	32.24816
152.59108	132.69789	43.33404	33.52497
153.59108	117.60548	50.24778	35.36353
154.59108	99.77052	52.57512	36.85996
155.59108	74.99375	61.35378	40.70447
156.59108	63.54175	72.47568	43.65746
157.59108	47.53538	77.79121	45.80465
158.59108	39.18901	84.7266	49.01839
159.59108	28.97903	101.26666	55.37333
160.59108	20.76932	118.25114	59.47813
161.59108	16.3821	125.61849	63.55759
162.59108	13.83111	134.05222	68.58345
163.59108	10.49403	153.25365	74.33213
164.59108	7.75174	158.50825	84.03826
165.59108	6.4889	156.13526	94.81138
166.59108	4.95244	153.2529	100.10957
167.59108	4.20273	135.71332	104.76759
168.59108	3.07348	107.7557	120.28606
169.59108	2.56535	95.07377	124.08977
170.59108	2.04642	82.64169	121.42296
171.59108	1.58495	61.6136	114.31424
172.59108	1.32986	40.36604	105.17532
