#EXPORTTYPE:  	DATA COMPARE                 	DATA COMPARE                 	DATA COMPARE                
#FILE:        	3.ngb-dm2                    	5.ngb-dm2                    	10.ngb-dm2                  
#FORMAT:      	NETZSCH5                     	NETZSCH5                     	NETZSCH5                    
#FTYPE:       	ANSI                         	ANSI                         	ANSI                        
#IDENTITY:    	3                            	2                            	1                           
#DECIMAL:     	POINT                        	POINT                        	POINT                       
#SEPARATOR:   	TAB                          	TAB                          	TAB                         
#MTYPE:       	DMA                          	DMA                          	DMA                         
#INSTRUMENT:  	NETZSCH DMA 242              	NETZSCH DMA 242              	NETZSCH DMA 242             
#PROJECT:     	Amtrol                       	Amtrol                       	Amtrol                      
#DATE/TIME:   	5/29/2024 12:46:57 PM (UTC+1)	5/29/2024 11:00:19 AM (UTC+1)	5/29/2024 9:25:24 AM (UTC+1)
#LABORATORY:  	Piep                         	Piep                         	Piep                        
#OPERATOR:    	LG                           	LG                           	LG                          
#REMARK:      	                             	                             	                            
#SAMPLEHOLDER:	SingleCantilever16           	SingleCantilever16           	SingleCantilever16          
#SAMPLE:      	Resin                        	Resin                        	Resin                       
#SAMPLEDIM/MM:	16.000x10.660x3.660          	16.000x10.560x3.640          	16.000x10.720x3.700         
#MATERIAL:    	                             	                             	                            
#CORR. CODE:  	0                            	0                            	0                           
#RANGE:       	90.0°C/3.0(K/min)/260.0°C    	90.0°C/5.0(K/min)/260.0°C    	25.0°C/10.0(K/min)/400.0°C  
#SEGMENT:     	S1/2                         	S1/2                         	S1/2                        
#SEG. 1:      	90.0°C/3.0(K/min)/260.0°C    	90.0°C/5.0(K/min)/260.0°C    	25.0°C/10.0(K/min)/400.0°C  

##Temp./°C	tan d(1.000 Hz)	tan d(1.000 Hz)	tan d(1.000 Hz)
 24.59108	              	              	 1.570357e-002
 25.59108	              	              	 1.559059e-002
 26.59108	              	              	 1.526162e-002
 27.59108	              	              	 1.562012e-002
 28.59108	              	              	 1.526992e-002
 29.59108	              	              	 1.549785e-002
 30.59108	              	              	 1.576001e-002
 31.59108	              	              	 1.569187e-002
 32.59108	              	              	 1.570825e-002
 33.59108	              	              	 1.569778e-002
 34.59108	              	              	 1.570246e-002
 35.59108	              	              	 1.570520e-002
 36.59108	              	              	 1.569142e-002
 37.59108	              	              	 1.569293e-002
 38.59108	              	              	 1.570085e-002
 39.59108	              	              	 1.570216e-002
 40.59108	              	              	 1.570132e-002
 41.59108	              	              	 1.564776e-002
 42.59108	              	              	 1.598869e-002
 43.59108	              	              	 1.615311e-002
 44.59108	              	              	 1.574089e-002
 45.59108	              	              	 1.560251e-002
 46.59108	              	              	 1.614424e-002
 47.59108	              	              	 1.597205e-002
 48.59108	              	              	 1.559635e-002
 49.59108	              	              	 1.579645e-002
 50.59108	              	              	 1.610921e-002
 51.59108	              	              	 1.632168e-002
 52.59108	              	              	 1.589074e-002
 53.59108	              	              	 1.577442e-002
 54.59108	              	              	 1.623310e-002
 55.59108	              	              	 1.620071e-002
 56.59108	              	              	 1.620861e-002
 57.59108	              	              	 1.626093e-002
 58.59108	              	              	 1.598607e-002
 59.59108	              	              	 1.568653e-002
 60.59108	              	              	 1.605217e-002
 61.59108	              	              	 1.624972e-002
 62.59108	              	              	 1.667974e-002
 63.59108	              	              	 1.658347e-002
 64.59108	              	              	 1.622045e-002
 65.59108	              	              	 1.668458e-002
 66.59108	              	              	 1.656638e-002
 67.59108	              	              	 1.620977e-002
 68.59108	              	              	 1.615900e-002
 69.59108	              	              	 1.621815e-002
 70.59108	              	              	 1.613143e-002
 71.59108	              	              	 1.635204e-002
 72.59108	              	              	 1.671092e-002
 73.59108	              	              	 1.619642e-002
 74.59108	              	              	 1.641996e-002
 75.59108	              	              	 1.673152e-002
 76.59108	              	              	 1.672996e-002
 77.59108	              	              	 1.676398e-002
 78.59108	              	              	 1.632477e-002
 79.59108	              	              	 1.613777e-002
 80.59108	              	              	 1.614139e-002
 81.59108	              	              	 1.617979e-002
 82.59108	              	              	 1.665936e-002
 83.59108	              	              	 1.645032e-002
 84.59108	              	              	 1.616362e-002
 85.59108	              	              	 1.656817e-002
 86.59108	              	              	 1.638487e-002
 87.59108	 1.391002e-002	              	 1.617671e-002
 88.59108	 1.391002e-002	              	 1.643344e-002
 89.59108	 1.391016e-002	              	 1.673285e-002
 90.59108	 1.337464e-002	 1.279987e-002	 1.668532e-002
 91.59108	 1.395083e-002	 1.278153e-002	 1.667702e-002
 92.59108	 1.392420e-002	 1.278351e-002	 1.668955e-002
 93.59108	 1.340172e-002	 1.225366e-002	 1.667845e-002
 94.59108	 1.391272e-002	 1.281400e-002	 1.665657e-002
 95.59108	 1.405288e-002	 1.226620e-002	 1.667035e-002
 96.59108	 1.444600e-002	 1.277717e-002	 1.673323e-002
 97.59108	 1.445032e-002	 1.278216e-002	 1.654922e-002
 98.59108	 1.445794e-002	 1.279064e-002	 1.616960e-002
 99.59108	 1.490019e-002	 1.324739e-002	 1.673216e-002
100.59108	 1.444186e-002	 1.262714e-002	 1.666976e-002
101.59108	 1.500128e-002	 1.337126e-002	 1.660391e-002
102.59108	 1.492989e-002	 1.330938e-002	 1.683646e-002
103.59108	 1.508159e-002	 1.369426e-002	 1.722695e-002
104.59108	 1.549611e-002	 1.387607e-002	 1.721928e-002
105.59108	 1.574137e-002	 1.376031e-002	 1.725199e-002
106.59108	 1.547664e-002	 1.374387e-002	 1.702018e-002
107.59108	 1.572977e-002	 1.412444e-002	 1.666672e-002
108.59108	 1.613515e-002	 1.409320e-002	 1.715039e-002
109.59108	 1.608074e-002	 1.440804e-002	 1.676929e-002
110.59108	 1.607758e-002	 1.385337e-002	 1.696532e-002
111.59108	 1.662040e-002	 1.439742e-002	 1.769375e-002
112.59108	 1.661755e-002	 1.435734e-002	 1.728317e-002
113.59108	 1.608595e-002	 1.499562e-002	 1.730160e-002
