Time/min,E'(1.000 Hz)/MPa,EXPORTTYPE:,FILE:,FORMAT:,FTYPE:,IDENTITY:,DECIMAL:,SEPARATOR:,MTYPE:,INSTRUMENT:,PROJECT:,DATE/TIME:,LABORATORY:,OPERATOR:,SAMPLEHOLDER:,SAMPLE:,SAMPLEDIM/MM:,CORR. CODE:,RANGE:,SEGMENT:,SEG. 1:,SEG. 2:,ASSAY,FILE
0.09667,1203.79050,DATA COMPARE                                 	DATA COMPARE                                 	DATA COMPARE,3.ngb-dm2                                    	5.ngb-dm2                                    	10.ngb-dm2,NETZSCH5                                     	NETZSCH5                                     	NETZSCH5,ANSI                                         	ANSI                                         	ANSI,3                                            	2                                            	1,POINT                                        	POINT                                        	POINT,TAB                                          	TAB                                          	TAB,DMA                                          	DMA                                          	DMA,NETZSCH DMA 242                              	NETZSCH DMA 242                              	NETZSCH DMA 242,Amtrol                                       	Amtrol                                       	Amtrol,5/29/2024 12:46:57 PM (UTC+1)                	5/29/2024 11:00:19 AM (UTC+1)                	5/29/2024 9:25:24 AM (UTC+1),Piep                                         	Piep                                         	Piep,LG                                           	LG                                           	LG,SingleCantilever16                           	SingleCantilever16                           	SingleCantilever16,Resin                                        	Resin                                        	Resin,16.000x10.660x3.660                          	16.000x10.560x3.640                          	16.000x10.720x3.700,0                                            	0                                            	0,90.0�C/3.0(K/min)/260.0�C/20.0(K/min)/25.0�C/	90.0�C/5.0(K/min)/260.0�C/20.0(K/min)/25.0�C/	25.0�C/10.0(K/min)/400.0�C/20.0(K/min)/25.0�C/,S1-2/2                                       	S1-2/2                                       	S1-2/2,90.0�C/3.0(K/min)/260.0�C                    	90.0�C/5.0(K/min)/260.0�C                    	25.0�C/10.0(K/min)/400.0�C,260.0�C/20.0(K/min)/25.0�C                   	260.0�C/20.0(K/min)/25.0�C                   	400.0�C/20.0(K/min)/25.0�C,Temperature Sweep,Ep
0.34667,1203.33079,DATA COMPARE                                 	DATA COMPARE                                 	DATA COMPARE,3.ngb-dm2                                    	5.ngb-dm2                                    	10.ngb-dm2,NETZSCH5                                     	NETZSCH5                                     	NETZSCH5,ANSI                                         	ANSI                                         	ANSI,3                                            	2                                            	1,POINT                                        	POINT                                        	POINT,TAB                                          	TAB                                          	TAB,DMA                                          	DMA                                          	DMA,NETZSCH DMA 242                              	NETZSCH DMA 242                              	NETZSCH DMA 242,Amtrol                                       	Amtrol                                       	Amtrol,5/29/2024 12:46:57 PM (UTC+1)                	5/29/2024 11:00:19 AM (UTC+1)                	5/29/2024 9:25:24 AM (UTC+1),Piep                                         	Piep                                         	Piep,LG                                           	LG                                           	LG,SingleCantilever16                           	SingleCantilever16                           	SingleCantilever16,Resin                                        	Resin                                        	Resin,16.000x10.660x3.660                          	16.000x10.560x3.640                          	16.000x10.720x3.700,0                                            	0                                            	0,90.0�C/3.0(K/min)/260.0�C/20.0(K/min)/25.0�C/	90.0�C/5.0(K/min)/260.0�C/20.0(K/min)/25.0�C/	25.0�C/10.0(K/min)/400.0�C/20.0(K/min)/25.0�C/,S1-2/2                                       	S1-2/2                                       	S1-2/2,90.0�C/3.0(K/min)/260.0�C                    	90.0�C/5.0(K/min)/260.0�C                    	25.0�C/10.0(K/min)/400.0�C,260.0�C/20.0(K/min)/25.0�C                   	260.0�C/20.0(K/min)/25.0�C                   	400.0�C/20.0(K/min)/25.0�C,Temperature Sweep,Ep
0.59667,1203.60535,DATA COMPARE                                 	DATA COMPARE                                 	DATA COMPARE,3.ngb-dm2                                    	5.ngb-dm2                                    	10.ngb-dm2,NETZSCH5                                     	NETZSCH5                                     	NETZSCH5,ANSI                                         	ANSI                                         	ANSI,3                                            	2                                            	1,POINT                                        	POINT                                        	POINT,TAB                                          	TAB                                          	TAB,DMA                                          	DMA                                          	DMA,NETZSCH DMA 242                              	NETZSCH DMA 242                              	NETZSCH DMA 242,Amtrol                                       	Amtrol                                       	Amtrol,5/29/2024 12:46:57 PM (UTC+1)                	5/29/2024 11:00:19 AM (UTC+1)                	5/29/2024 9:25:24 AM (UTC+1),Piep                                         	Piep                                         	Piep,LG                                           	LG                                           	LG,SingleCantilever16                           	SingleCantilever16                           	SingleCantilever16,Resin                                        	Resin                                        	Resin,16.000x10.660x3.660                          	16.000x10.560x3.640                          	16.000x10.720x3.700,0                                            	0                                            	0,90.0�C/3.0(K/min)/260.0�C/20.0(K/min)/25.0�C/	90.0�C/5.0(K/min)/260.0�C/20.0(K/min)/25.0�C/	25.0�C/10.0(K/min)/400.0�C/20.0(K/min)/25.0�C/,S1-2/2                                       	S1-2/2                                       	S1-2/2,90.0�C/3.0(K/min)/260.0�C                    	90.0�C/5.0(K/min)/260.0�C                    	25.0�C/10.0(K/min)/400.0�C,260.0�C/20.0(K/min)/25.0�C                   	260.0�C/20.0(K/min)/25.0�C                   	400.0�C/20.0(K/min)/25.0�C,Temperature Sweep,Ep
0.84667,1203.24235,DATA COMPARE                                 	DATA COMPARE                                 	DATA COMPARE,3.ngb-dm2                                    	5.ngb-dm2                                    	10.ngb-dm2,NETZSCH5                                     	NETZSCH5                                     	NETZSCH5,ANSI                                         	ANSI                                         	ANSI,3                                            	2                                            	1,POINT                                        	POINT                                        	POINT,TAB                                          	TAB                                          	TAB,DMA                                          	DMA                                          	DMA,NETZSCH DMA 242                              	NETZSCH DMA 242                              	NETZSCH DMA 242,Amtrol                                       	Amtrol                                       	Amtrol,5/29/2024 12:46:57 PM (UTC+1)                	5/29/2024 11:00:19 AM (UTC+1)                	5/29/2024 9:25:24 AM (UTC+1),Piep                                         	Piep                                         	Piep,LG                                           	LG                                           	LG,SingleCantilever16                           	SingleCantilever16                           	SingleCantilever16,Resin                                        	Resin                                        	Resin,16.000x10.660x3.660                          	16.000x10.560x3.640                          	16.000x10.720x3.700,0                                            	0                                            	0,90.0�C/3.0(K/min)/260.0�C/20.0(K/min)/25.0�C/	90.0�C/5.0(K/min)/260.0�C/20.0(K/min)/25.0�C/	25.0�C/10.0(K/min)/400.0�C/20.0(K/min)/25.0�C/,S1-2/2                                       	S1-2/2                                       	S1-2/2,90.0�C/3.0(K/min)/260.0�C                    	90.0�C/5.0(K/min)/260.0�C                    	25.0�C/10.0(K/min)/400.0�C,260.0�C/20.0(K/min)/25.0�C                   	260.0�C/20.0(K/min)/25.0�C                   	400.0�C/20.0(K/min)/25.0�C,Temperature Sweep,Ep
1.09667,1202.83942,DATA COMPARE                                 	DATA COMPARE                                 	DATA COMPARE,3.ngb-dm2                                    	5.ngb-dm2                                    	10.ngb-dm2,NETZSCH5                                     	NETZSCH5                                     	NETZSCH5,ANSI                                         	ANSI                                         	ANSI,3                                            	2                                            	1,POINT                                        	POINT                                        	POINT,TAB                                          	TAB                                          	TAB,DMA                                          	DMA                                          	DMA,NETZSCH DMA 242                              	NETZSCH DMA 242                              	NETZSCH DMA 242,Amtrol                                       	Amtrol                                       	Amtrol,5/29/2024 12:46:57 PM (UTC+1)                	5/29/2024 11:00:19 AM (UTC+1)                	5/29/2024 9:25:24 AM (UTC+1),Piep                                         	Piep                                         	Piep,LG                                           	LG                                           	LG,SingleCantilever16                           	SingleCantilever16                           	SingleCantilever16,Resin                                        	Resin                                        	Resin,16.000x10.660x3.660                          	16.000x10.560x3.640                          	16.000x10.720x3.700,0                                            	0                                            	0,90.0�C/3.0(K/min)/260.0�C/20.0(K/min)/25.0�C/	90.0�C/5.0(K/min)/260.0�C/20.0(K/min)/25.0�C/	25.0�C/10.0(K/min)/400.0�C/20.0(K/min)/25.0�C/,S1-2/2                                       	S1-2/2                                       	S1-2/2,90.0�C/3.0(K/min)/260.0�C                    	90.0�C/5.0(K/min)/260.0�C                    	25.0�C/10.0(K/min)/400.0�C,260.0�C/20.0(K/min)/25.0�C                   	260.0�C/20.0(K/min)/25.0�C                   	400.0�C/20.0(K/min)/25.0�C,Temperature Sweep,Ep
1.34667,1201.72629,DATA COMPARE                                 	DATA COMPARE                                 	DATA COMPARE,3.ngb-dm2                                    	5.ngb-dm2                                    	10.ngb-dm2,NETZSCH5                                     	NETZSCH5                                     	NETZSCH5,ANSI                                         	ANSI                                         	ANSI,3                                            	2                                            	1,POINT                                        	POINT                                        	POINT,TAB                                          	TAB                                          	TAB,DMA                                          	DMA                                          	DMA,NETZSCH DMA 242                              	NETZSCH DMA 242                              	NETZSCH DMA 242,Amtrol                                       	Amtrol                                       	Amtrol,5/29/2024 12:46:57 PM (UTC+1)                	5/29/2024 11:00:19 AM (UTC+1)                	5/29/2024 9:25:24 AM (UTC+1),Piep                                         	Piep                                         	Piep,LG                                           	LG                                           	LG,SingleCantilever16                           	SingleCantilever16                           	SingleCantilever16,Resin                                        	Resin                                        	Resin,16.000x10.660x3.660                          	16.000x10.560x3.640                          	16.000x10.720x3.700,0                                            	0                                            	0,90.0�C/3.0(K/min)/260.0�C/20.0(K/min)/25.0�C/	90.0�C/5.0(K/min)/260.0�C/20.0(K/min)/25.0�C/	25.0�C/10.0(K/min)/400.0�C/20.0(K/min)/25.0�C/,S1-2/2                                       	S1-2/2                                       	S1-2/2,90.0�C/3.0(K/min)/260.0�C                    	90.0�C/5.0(K/min)/260.0�C                    	25.0�C/10.0(K/min)/400.0�C,260.0�C/20.0(K/min)/25.0�C                   	260.0�C/20.0(K/min)/25.0�C                   	400.0�C/20.0(K/min)/25.0�C,Temperature Sweep,Ep
1.59667,1201.82317,DATA COMPARE                                 	DATA COMPARE                                 	DATA COMPARE,3.ngb-dm2                                    	5.ngb-dm2                                    	10.ngb-dm2,NETZSCH5                                     	NETZSCH5                                     	NETZSCH5,ANSI                                         	ANSI                                         	ANSI,3                                            	2                                            	1,POINT                                        	POINT                                        	POINT,TAB                                          	TAB                                          	TAB,DMA                                          	DMA                                          	DMA,NETZSCH DMA 242                              	NETZSCH DMA 242                              	NETZSCH DMA 242,Amtrol                                       	Amtrol                                       	Amtrol,5/29/2024 12:46:57 PM (UTC+1)                	5/29/2024 11:00:19 AM (UTC+1)                	5/29/2024 9:25:24 AM (UTC+1),Piep                                         	Piep                                         	Piep,LG                                           	LG                                           	LG,SingleCantilever16                           	SingleCantilever16                           	SingleCantilever16,Resin                                        	Resin                                        	Resin,16.000x10.660x3.660                          	16.000x10.560x3.640                          	16.000x10.720x3.700,0                                            	0                                            	0,90.0�C/3.0(K/min)/260.0�C/20.0(K/min)/25.0�C/	90.0�C/5.0(K/min)/260.0�C/20.0(K/min)/25.0�C/	25.0�C/10.0(K/min)/400.0�C/20.0(K/min)/25.0�C/,S1-2/2                                       	S1-2/2                                       	S1-2/2,90.0�C/3.0(K/min)/260.0�C                    	90.0�C/5.0(K/min)/260.0�C                    	25.0�C/10.0(K/min)/400.0�C,260.0�C/20.0(K/min)/25.0�C                   	260.0�C/20.0(K/min)/25.0�C                   	400.0�C/20.0(K/min)/25.0�C,Temperature Sweep,Ep
1.84667,1200.15884,DATA COMPARE                                 	DATA COMPARE                                 	DATA COMPARE,3.ngb-dm2                                    	5.ngb-dm2                                    	10.ngb-dm2,NETZSCH5                                     	NETZSCH5                                     	NETZSCH5,ANSI                                         	ANSI                                         	ANSI,3                                            	2                                            	1,POINT                                        	POINT                                        	POINT,TAB                                          	TAB                                          	TAB,DMA                                          	DMA                                          	DMA,NETZSCH DMA 242                              	NETZSCH DMA 242                              	NETZSCH DMA 242,Amtrol                                       	Amtrol                                       	Amtrol,5/29/2024 12:46:57 PM (UTC+1)                	5/29/2024 11:00:19 AM (UTC+1)                	5/29/2024 9:25:24 AM (UTC+1),Piep                                         	Piep                                         	Piep,LG                                           	LG                                           	LG,SingleCantilever16                           	SingleCantilever16                           	SingleCantilever16,Resin                                        	Resin                                        	Resin,16.000x10.660x3.660                          	16.000x10.560x3.640                          	16.000x10.720x3.700,0                                            	0                                            	0,90.0�C/3.0(K/min)/260.0�C/20.0(K/min)/25.0�C/	90.0�C/5.0(K/min)/260.0�C/20.0(K/min)/25.0�C/	25.0�C/10.0(K/min)/400.0�C/20.0(K/min)/25.0�C/,S1-2/2                                       	S1-2/2                                       	S1-2/2,90.0�C/3.0(K/min)/260.0�C                    	90.0�C/5.0(K/min)/260.0�C                    	25.0�C/10.0(K/min)/400.0�C,260.0�C/20.0(K/min)/25.0�C                   	260.0�C/20.0(K/min)/25.0�C                   	400.0�C/20.0(K/min)/25.0�C,Temperature Sweep,Ep
2.09667,1199.10093,DATA COMPARE                                 	DATA COMPARE                                 	DATA COMPARE,3.ngb-dm2                                    	5.ngb-dm2                                    	10.ngb-dm2,NETZSCH5                                     	NETZSCH5                                     	NETZSCH5,ANSI                                         	ANSI                                         	ANSI,3                                            	2                                            	1,POINT                                        	POINT                                        	POINT,TAB                                          	TAB                                          	TAB,DMA                                          	DMA                                          	DMA,NETZSCH DMA 242                              	NETZSCH DMA 242                              	NETZSCH DMA 242,Amtrol                                       	Amtrol                                       	Amtrol,5/29/2024 12:46:57 PM (UTC+1)                	5/29/2024 11:00:19 AM (UTC+1)                	5/29/2024 9:25:24 AM (UTC+1),Piep                                         	Piep                                         	Piep,LG                                           	LG                                           	LG,SingleCantilever16                           	SingleCantilever16                           	SingleCantilever16,Resin                                        	Resin                                        	Resin,16.000x10.660x3.660                          	16.000x10.560x3.640                          	16.000x10.720x3.700,0                                            	0                                            	0,90.0�C/3.0(K/min)/260.0�C/20.0(K/min)/25.0�C/	90.0�C/5.0(K/min)/260.0�C/20.0(K/min)/25.0�C/	25.0�C/10.0(K/min)/400.0�C/20.0(K/min)/25.0�C/,S1-2/2                                       	S1-2/2                                       	S1-2/2,90.0�C/3.0(K/min)/260.0�C                    	90.0�C/5.0(K/min)/260.0�C                    	25.0�C/10.0(K/min)/400.0�C,260.0�C/20.0(K/min)/25.0�C                   	260.0�C/20.0(K/min)/25.0�C                   	400.0�C/20.0(K/min)/25.0�C,Temperature Sweep,Ep
2.34667,1198.28546,DATA COMPARE                                 	DATA COMPARE                                 	DATA COMPARE,3.ngb-dm2                                    	5.ngb-dm2                                    	10.ngb-dm2,NETZSCH5                                     	NETZSCH5                                     	NETZSCH5,ANSI                                         	ANSI                                         	ANSI,3                                            	2                                            	1,POINT                                        	POINT                                        	POINT,TAB                                          	TAB                                          	TAB,DMA                                          	DMA                                          	DMA,NETZSCH DMA 242                              	NETZSCH DMA 242                              	NETZSCH DMA 242,Amtrol                                       	Amtrol                                       	Amtrol,5/29/2024 12:46:57 PM (UTC+1)                	5/29/2024 11:00:19 AM (UTC+1)                	5/29/2024 9:25:24 AM (UTC+1),Piep                                         	Piep                                         	Piep,LG                                           	LG                                           	LG,SingleCantilever16                           	SingleCantilever16                           	SingleCantilever16,Resin                                        	Resin                                        	Resin,16.000x10.660x3.660                          	16.000x10.560x3.640                          	16.000x10.720x3.700,0                                            	0                                            	0,90.0�C/3.0(K/min)/260.0�C/20.0(K/min)/25.0�C/	90.0�C/5.0(K/min)/260.0�C/20.0(K/min)/25.0�C/	25.0�C/10.0(K/min)/400.0�C/20.0(K/min)/25.0�C/,S1-2/2                                       	S1-2/2                                       	S1-2/2,90.0�C/3.0(K/min)/260.0�C                    	90.0�C/5.0(K/min)/260.0�C                    	25.0�C/10.0(K/min)/400.0�C,260.0�C/20.0(K/min)/25.0�C                   	260.0�C/20.0(K/min)/25.0�C                   	400.0�C/20.0(K/min)/25.0�C,Temperature Sweep,Ep
2.59667,1196.71590,DATA COMPARE                                 	DATA COMPARE                                 	DATA COMPARE,3.ngb-dm2                                    	5.ngb-dm2                                    	10.ngb-dm2,NETZSCH5                                     	NETZSCH5                                     	NETZSCH5,ANSI                                         	ANSI                                         	ANSI,3                                            	2                                            	1,POINT                                        	POINT                                        	POINT,TAB                                          	TAB                                          	TAB,DMA                                          	DMA                                          	DMA,NETZSCH DMA 242                              	NETZSCH DMA 242                              	NETZSCH DMA 242,Amtrol                                       	Amtrol                                       	Amtrol,5/29/2024 12:46:57 PM (UTC+1)                	5/29/2024 11:00:19 AM (UTC+1)                	5/29/2024 9:25:24 AM (UTC+1),Piep                                         	Piep                                         	Piep,LG                                           	LG                                           	LG,SingleCantilever16                           	SingleCantilever16                           	SingleCantilever16,Resin                                        	Resin                                        	Resin,16.000x10.660x3.660                          	16.000x10.560x3.640                          	16.000x10.720x3.700,0                                            	0                                            	0,90.0�C/3.0(K/min)/260.0�C/20.0(K/min)/25.0�C/	90.0�C/5.0(K/min)/260.0�C/20.0(K/min)/25.0�C/	25.0�C/10.0(K/min)/400.0�C/20.0(K/min)/25.0�C/,S1-2/2                                       	S1-2/2                                       	S1-2/2,90.0�C/3.0(K/min)/260.0�C                    	90.0�C/5.0(K/min)/260.0�C                    	25.0�C/10.0(K/min)/400.0�C,260.0�C/20.0(K/min)/25.0�C                   	260.0�C/20.0(K/min)/25.0�C                   	400.0�C/20.0(K/min)/25.0�C,Temperature Sweep,Ep
